,0,1,2,3,4,5,6,7,8,9,10,11
0,Sl. No.,Affected States/UTs,2021,2021,2022,2022,2023,2023,2024,2024,2025*,2025*
1,Sl. No.,Affected States/UTs,C,D,C,D,C,D,C,D,C,D
2,1,Andhra Pradesh,4760,0,6391,0,6453,0,5555,2,2386,5
3,2,Arunachal Pradesh,7,0,114,0,130,0,20,0,412,0
4,3,Assam,103,0,1826,2,8208,7,2271,0,618,0
5,4,Bihar,633,2,13972,32,20224,74,10157,16,3774,2
6,5,Chattisgarh,1086,0,2679,10,2412,0,3523,2,454,0
7,6,Goa,649,0,443,1,512,3,567,3,101,0
8,7,Gujarat,10983,14,6682,7,7222,7,7891,6,3947,0
9,8,Haryana,11835,13,8996,18,8081,11,6469,9,2554,0
10,9,Himachal Pradesh,349,0,3326,1,1989,0,3359,0,229,0
11,10,J & K,1709,4,8269,18,6403,10,6876,1,3343,2
12,11,Jharkhand,220,1,290,0,2578,4,1528,0,335,1
13,12,Karnataka,7393,7,9889,9,19300,11,32886,27,6759,0
14,13,Kerala,3251,27,4432,29,17426,153,20674,128,10239,49
15,14,Lakshadweep,1,0,67,0,445,0,513,0,109,0
16,15,Madhya Pradesh,15592,11,3318,2,6979,0,10224,6,1910,0
17,16,Meghalaya,129,0,26,0,114,0,74,0,63,0
18,17,Maharashtra,12720,42,8578,27,19034,55,19385,40,13333,13
19,18,Manipur,203,0,503,4,2548,0,2463,5,5457,1
20,19,Mizoram,83,0,1868,5,2060,2,744,1,901,0
21,20,Nagaland,24,0,154,0,4943,2,42,0,68,0
22,21,Odisha,7548,0,7063,0,12845,1,9892,0,2544,0
23,22,Punjab,23389,55,11030,41,13687,39,6260,13,4857,4
24,23,Rajasthan,20749,96,13491,10,13924,14,12514,5,4017,0
25,24,Sikkim,243,1,264,0,311,0,374,0,162,0
26,25,Tamil Nadu,6039,8,6430,8,9121,12,27378,13,20866,12
27,26,Tripura,349,0,56,0,1447,0,1198,0,699,0
28,27,Telangana,7135,0,8972,0,8016,1,10077,0,8139,0
29,28,Uttar Pradesh,29750,29,19821,33,35402,36,15868,9,8926,3
30,29,Uttrakhand,738,2,2337,0,4320,17,494,0,976,0
31,30,West Bengal*,8264,7,67271,30,30683,4,441,0,NR,NR
32,31,A& N Island,175,0,1014,3,846,0,59,0,351,0
33,32,Chandigarh,1596,3,910,1,454,0,349,0,54,0
34,33,Delhi,13089,23,10183,9,16866,19,10585,11,3746,2
35,34,D&N Haveli,547,0,685,0,1178,0,403,0,193,0
36,34,Daman & Diu,279,0,228,0,284,1,278,0,117,0
37,35,Puduchery,1625,1,1673,3,2790,2,2128,0,811,1
38,36,Ladakh,,,,,,,,,Non-Endemic,Non-Endemic
39,,Total,193245,346,233251,303,289235,485,233519,297,113450,95
